Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,5.312169,5.333333,5.291005,5.319224,2.130207,49613
1982-01-04,5.305115,5.305115,5.291005,5.291005,2.118905,322481
1982-01-05,5.248677,5.319224,5.164021,5.164021,2.068052,58472
1982-01-06,5.178131,5.220459,5.135802,5.19224,2.079352,144408
1982-01-07,5.149912,5.19224,5.093474,5.135802,2.056751,62016
1982-01-08,5.149912,5.164021,5.121693,5.164021,2.068052,39867
1982-01-11,5.19224,5.248677,5.135802,5.178131,2.073702,223256
1982-01-12,5.121693,5.149912,5.079365,5.135802,2.056751,503213
1982-01-13,5.008818,5.135802,4.881834,4.881834,1.955044,247177
1982-01-14,4.9806,5.051146,4.910053,5.037037,2.017198,264009
1982-01-15,5.065256,5.079365,5.037037,5.079365,2.034149,109856
1982-01-18,5.164021,5.248677,5.079365,5.248677,2.101955,253378
1982-01-19,5.333333,5.417989,5.248677,5.389771,2.158458,144408
1982-01-20,5.375661,5.40388,5.333333,5.389771,2.158458,26578
1982-01-21,5.361552,5.389771,5.333333,5.361552,2.147157,682172
1982-01-22,5.40388,5.460317,5.347443,5.446208,2.181059,46955
1982-01-25,5.40388,5.446208,5.361552,5.389771,2.158458,217941
1982-01-26,5.417989,5.446208,5.389771,5.417989,2.16976,85050
1982-01-27,5.474427,5.516755,5.417989,5.516755,2.209311,287044
1982-01-28,5.643739,5.756614,5.530864,5.756614,2.305369,145294
1982-01-29,5.813051,5.897707,5.728395,5.897707,2.361873,368550
1982-02-01,5.954145,6.024691,5.869489,5.996473,2.401425,383611
1982-02-02,6.081129,6.123457,6.024691,6.095238,2.440979,603323
1982-02-03,6.05291,6.123457,5.982363,5.982363,2.395775,206423
1982-02-04,5.84127,5.954145,5.714286,5.798942,2.322321,122259
1982-02-05,5.855379,5.925926,5.784832,5.897707,2.361873,986934
1982-02-08,5.897707,5.911817,5.869489,5.869489,2.359604,82392
1982-02-09,5.855379,5.869489,5.82716,5.869489,2.359604,22148
1982-02-10,5.82716,5.883598,5.770723,5.770723,2.319899,391584
1982-02-11,5.728395,5.813051,5.643739,5.700176,2.291538,311850
1982-02-12,5.813051,5.855379,5.756614,5.855379,2.353932,99225
1982-02-16,5.855379,5.869489,5.82716,5.869489,2.359604,157697
1982-02-17,5.883598,5.897707,5.869489,5.869489,2.359604,328683
1982-02-18,5.897707,5.911817,5.869489,5.897707,2.370948,76191
1982-02-19,5.869489,5.897707,5.84127,5.869489,2.359604,282614
1982-02-22,5.869489,5.911817,5.813051,5.813051,2.336917,277298
1982-02-23,5.756614,5.813051,5.700176,5.784832,2.325572,182503
1982-02-24,5.813051,5.84127,5.770723,5.813051,2.336917,130233
1982-02-25,5.883598,5.954145,5.813051,5.911817,2.376621,414619
1982-02-26,6.081129,6.208113,5.940035,6.179894,2.48439,178959
