Date,Open,High,Low,Close,Adj Close,Volume
2020-01-30,25.4,25.5,25.4,25.48,20.769758,910400
2020-01-31,25.5,25.780001,25.469999,25.68,20.932789,350000
2020-02-03,25.68,25.790001,25.5,25.67,20.924637,173300
2020-02-04,25.67,25.889999,25.65,25.85,21.071362,96700
2020-02-05,25.85,26.0,25.780001,25.85,21.071362,21500
2020-02-06,25.93,25.940001,25.799999,25.940001,21.144724,18600
2020-02-07,25.969999,25.969999,25.75,25.75,20.989849,40400
2020-02-10,25.9,25.92,25.85,25.85,21.071362,2700
2020-02-11,25.950001,25.950001,25.799999,25.799999,21.030603,19000
2020-02-12,25.799999,25.85,25.709999,25.799999,21.030603,24500
2020-02-13,25.85,25.915001,25.674999,25.719999,20.965391,49800
2020-02-14,25.84,25.889999,25.65,25.66,20.916483,43800
2020-02-18,25.739,25.76,25.66,25.690001,20.940941,15900
2020-02-19,25.719999,25.719999,25.620001,25.68,20.932789,77400
2020-02-20,25.82,25.82,25.6,25.65,20.908335,22000
2020-02-21,25.75,25.77,25.6,25.613001,20.878172,8000
2020-02-24,25.5,25.5,25.0,25.200001,20.541521,82300
2020-02-25,25.26,25.337,25.049999,25.049999,20.419247,26100
2020-02-26,25.059999,25.181,25.049999,25.049999,20.419247,25000
2020-02-27,25.0,25.09,24.799999,24.92,20.313282,55200
2020-02-28,24.9,24.9,24.4,24.5,19.970921,73900
2020-03-02,24.889999,25.209999,24.622,24.799999,20.215464,47900
2020-03-03,24.99,25.389999,24.9,25.0,20.378494,39000
2020-03-04,25.207001,25.243,25.174999,25.18,20.525219,25800
2020-03-05,25.09,25.25,24.870001,24.99,20.37034,29500
2020-03-06,24.809999,25.120001,24.75,25.0,20.378494,24700
2020-03-09,24.5,24.76,23.972,24.0,19.563353,15800
2020-03-10,24.281,24.99,24.200001,24.799999,20.215464,11800
2020-03-11,24.790001,24.790001,23.65,23.65,19.278055,11800
2020-03-12,23.389999,23.389999,22.215,22.666,18.475958,9600
2020-03-13,22.99,22.99,22.1,22.950001,18.707458,9000
2020-03-16,22.0,22.0,20.0,21.969999,17.908619,2900
2020-03-17,21.940001,22.299999,20.188999,22.299999,18.177612,9000
2020-03-18,20.75,20.75,20.0,20.0,16.302792,1300
2020-03-19,16.200001,19.0,16.200001,19.0,15.487653,600
2020-03-20,20.0,20.0,17.75,19.0,15.487653,8800
2020-03-23,19.0,19.0,16.431,18.0,14.672517,4600
2020-03-24,17.871,18.0,16.0,17.629999,14.370913,13400
2020-03-25,17.75,18.5,17.700001,18.0,14.672517,7200
2020-03-26,19.0,21.0,18.91,20.5,16.710363,6400
2020-03-27,20.0,20.004999,19.120001,19.5,15.89522,8400
2020-03-30,19.072001,19.208,18.870001,18.950001,15.446897,6800
2020-03-31,18.125,19.0,17.462999,18.99,15.479504,9500
2020-04-01,17.790001,18.5,17.15,18.5,15.080087,3500
2020-04-02,18.5,18.5,17.790001,17.82,14.525789,118000
2020-04-03,17.698,17.698,17.698,17.698,14.426342,300
2020-04-06,17.597,17.597,17.597,17.597,14.344013,300
2020-04-07,17.92,18.26,17.92,18.129999,14.778481,27200
2020-04-08,18.1,19.895,18.1,19.5,15.89522,13300
2020-04-09,20.25,20.99,19.799999,20.700001,16.873392,8500
2020-04-13,20.93,21.0,19.054001,20.0,16.302792,7500
2020-04-14,21.0,22.51,20.549999,20.549999,16.751122,15300
2020-04-15,20.75,21.219999,20.190001,21.011999,17.127716,1200
2020-04-16,20.18,21.4,18.5,21.23,17.305416,7700
2020-04-17,20.906,21.864,20.906,21.75,17.72929,1700
2020-04-20,21.5,21.5,21.25,21.25,17.321718,1800
2020-04-21,21.01,21.105,20.5,20.5,16.710363,5400
2020-04-22,20.5,21.25,20.5,21.059999,17.166842,3000
2020-04-23,21.1,21.1,20.51,21.033001,17.144835,4800
2020-04-24,20.886,22.379999,20.886,22.379999,18.242825,6000
2020-04-27,22.5,23.549999,22.049999,22.761,18.553392,5800
2020-04-28,22.886999,23.482,22.75,22.9,18.666698,10200
2020-04-29,23.5,25.5,22.9,23.5,19.155785,7200
2020-04-30,23.360001,23.5,22.4,23.200001,18.911242,4200
2020-05-01,22.799999,22.799999,22.799999,22.799999,18.585182,400
2020-05-04,22.938,22.938,22.51,22.6,18.422157,7600
2020-05-05,22.450001,22.483999,21.85,22.091,18.315205,41700
2020-05-06,22.1,22.200001,21.75,22.0,18.239761,6100
2020-05-07,22.030001,22.17,22.0,22.167999,18.379042,3700
2020-05-08,22.195,22.841999,22.195,22.5,18.654299,3100
2020-05-11,21.450001,22.5,21.450001,22.299999,18.488482,2100
2020-05-12,22.1,22.1,22.1,22.1,18.322666,300
2020-05-13,21.98,22.0,21.98,22.0,18.239761,1000
2020-05-14,21.0,21.5,21.0,21.448999,17.782938,3200
2020-05-15,21.5,21.5,20.75,21.5,17.825218,5000
2020-05-18,21.75,21.75,21.052999,21.25,17.61795,9300
2020-05-19,21.355,21.375,21.1,21.372999,17.719927,3200
2020-05-20,21.267,21.483,21.049999,21.325001,17.68013,4400
2020-05-21,21.35,21.75,21.18,21.75,18.03249,2200
2020-05-22,21.75,21.75,21.75,21.75,18.03249,0
2020-05-26,21.5,21.832001,21.25,21.832001,18.100473,6600
2020-05-27,21.799999,21.799999,21.51,21.51,17.833511,5300
2020-05-28,21.559999,22.025,21.559999,22.025,18.260483,5700
2020-05-29,22.299999,22.41,21.85,21.85,18.115396,25700
2020-06-01,21.9,22.212,21.9,21.924999,18.17758,23600
2020-06-02,21.92,21.99,21.620001,21.940001,18.190016,57400
2020-06-03,21.75,21.799999,20.75,20.85,17.286318,154600
2020-06-04,20.25,20.959999,20.16,20.790001,17.236574,179000
2020-06-05,21.01,21.299999,20.809999,21.049999,17.452135,245400
2020-06-08,21.1,21.25,20.889999,21.0,17.410679,102500
2020-06-09,21.1,21.115,20.9,21.0,17.410679,39800
2020-06-10,21.025999,21.08,20.799999,20.950001,17.369226,25300
