Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,5.05,5.4899,5.05,5.3886,3.164155,17763.0
2009-01-05,5.38,5.38,5.185,5.2,3.053409,13214.0
2009-01-06,5.2,5.5,5.11,5.5,3.229567,30404.0
2009-01-07,5.4,5.4,5.27,5.36,3.14736,11568.0
2009-01-08,5.38,5.38,4.98,5.2,3.053409,17047.0
2009-01-09,5.2001,5.27,4.94,5.0,2.93597,15598.0
2009-01-12,4.88,4.98,4.87,4.91,2.883123,10902.0
2009-01-13,4.78,5.0,4.78,4.9999,2.935912,10531.0
2009-01-14,4.68,4.93,4.51,4.5713,2.684241,17960.0
2009-01-15,4.52,4.8,4.43,4.55,2.671733,18005.0
2009-01-16,4.58,5.1344,4.5,5.1344,3.01489,9360.0
2009-01-20,4.99,4.99,4.46,4.55,2.671733,28419.0
2009-01-21,4.62,4.75,4.3,4.61,2.706964,18045.0
2009-01-22,4.61,4.63,4.44,4.6,2.701093,15550.0
2009-01-23,4.54,4.6475,4.42,4.61,2.706964,12313.0
2009-01-26,4.5,4.74,4.5,4.67,2.742197,20062.0
2009-01-27,4.84,4.84,4.67,4.75,2.789171,9151.0
2009-01-28,4.82,5.1,4.82,4.94,2.900739,38963.0
2009-01-29,4.98,4.98,4.77,4.9,2.877251,11900.0
2009-01-30,4.9,4.9,4.6719,4.88,2.865507,22710.0
2009-02-02,4.84,4.84,4.68,4.7394,2.782947,21442.0
2009-02-03,4.7,5.09,4.609,4.89,2.871379,32766.0
2009-02-04,4.78,4.95,4.75,4.81,2.824404,11763.0
2009-02-05,4.78,4.78,4.6,4.6,2.701093,39164.0
2009-02-06,4.5,4.99,4.5,4.822,2.83145,19719.0
2009-02-09,4.76,5.08,4.75,4.75,2.789171,40204.0
2009-02-10,4.9204,4.9204,4.65,4.67,2.742197,9099.0
2009-02-11,4.62,4.95,4.495,4.6,2.701093,21990.0
2009-02-12,4.61,4.655,4.54,4.62,2.712836,5967.0
2009-02-13,4.61,4.7777,4.56,4.66,2.736324,8930.0
2009-02-17,4.3,4.4,4.26,4.3,2.524934,15651.0
2009-02-18,4.31,4.37,4.24,4.3372,2.546778,16683.0
2009-02-19,4.36,4.36,4.2,4.2,2.466214,20558.0
2009-02-20,4.1,4.54,4.08,4.14,2.430984,65977.0
2009-02-23,4.16,4.26,3.97,3.99,2.342905,30336.0
2009-02-24,4.14,4.27,3.9845,4.18,2.454471,14954.0
2009-02-25,4.0905,4.18,4.03,4.15,2.436856,14946.0
2009-02-26,4.05,4.2994,4.0,4.29,2.519062,27856.0
2009-02-27,4.67,4.67,4.0,4.1499,2.436797,15934.0
2009-03-02,4.0,4.13,3.73,4.0304,2.366627,44537.0
2009-03-03,3.84,3.89,3.8,3.81,2.23721,11462.0
2009-03-04,3.84,3.91,3.7132,3.89,2.284185,28718.0
2009-03-05,3.8,3.88,3.6,3.6472,2.141614,14175.0
2009-03-06,3.69,3.9,3.54,3.63,2.131515,54046.0
2009-03-09,3.5,3.56,3.5,3.51,2.061051,21787.0
2009-03-10,3.54,3.7396,3.54,3.73,2.190234,21083.0
2009-03-11,3.72,4.0,3.71,3.84,2.254825,51775.0
2009-03-12,3.77,4.07,3.69,3.94,2.313545,22425.0
2009-03-13,4.06,4.29,3.85,4.0,2.348777,24950.0
2009-03-16,3.95,4.18,3.95,4.03,2.366392,20016.0
2009-03-17,4.09,4.17,4.02,4.17,2.448599,8000.0
2009-03-18,4.26,4.26,4.16,4.24,2.489702,5760.0
2009-03-19,4.26,4.35,4.15,4.26,2.501447,13824.0
2009-03-20,4.21,4.21,4.0999,4.14,2.430984,12388.0
2009-03-23,4.1445,4.393,4.1445,4.393,2.579543,16960.0
2009-03-24,4.46,4.53,4.26,4.42,2.595399,28307.0
2009-03-25,4.47,4.54,4.3,4.37,2.566039,19044.0
2009-03-26,4.32,4.58,4.32,4.53,2.659989,9903.0
2009-03-27,4.54,4.54,4.33,4.49,2.636502,22306.0
2009-03-30,4.49,4.61,4.3071,4.41,2.589526,25765.0
2009-03-31,4.2,4.44,4.06,4.41,2.589526,19700.0
2009-04-01,4.39,4.53,4.39,4.53,2.659989,6860.0
2009-04-02,4.55,4.79,4.55,4.7,2.759811,11952.0
2009-04-03,4.7,4.75,4.6,4.7193,2.771145,18550.0
2009-04-06,4.9,4.9,4.51,4.57,2.683477,13377.0
2009-04-07,4.57,4.66,4.51,4.56,2.677605,6658.0
2009-04-08,4.56,4.58,4.56,4.58,2.689349,2400.0
2009-04-09,4.58,4.78,4.58,4.71,2.765683,7108.0
2009-04-13,4.79,4.79,4.718,4.718,2.770381,4000.0
2009-04-14,4.71,4.85,4.71,4.74,2.783299,8500.0
2009-04-15,4.78,4.89,4.57,4.89,2.871379,34096.0
2009-04-16,4.79,5.14,4.77,5.05,2.96533,30746.0
2009-04-17,5.01,5.14,4.8,5.14,3.018177,23063.0
2009-04-20,5.23,5.39,4.9315,4.95,2.906612,13795.0
2009-04-21,4.75,4.92,4.75,4.91,2.883123,14439.0
2009-04-22,5.0,5.15,4.98,4.98,2.924227,7525.0
2009-04-23,5.07,5.2,4.85,4.9111,2.883769,21580.0
2009-04-24,5.21,5.27,5.1,5.1,2.99469,22670.0
2009-04-27,5.1,5.1,4.95,5.05,2.96533,15085.0
2009-04-28,4.94,5.12,4.87,5.05,2.96533,13097.0
2009-04-29,4.98,5.24,4.98,5.19,3.047537,25982.0
