Date,Open,High,Low,Close,Adj Close,Volume
2021-06-29,28.0,29.99,22.700001,23.52,23.52,2471400
2021-06-30,25.280001,46.0,25.09,38.299999,38.299999,7265800
2021-07-01,34.009998,39.5,30.299999,32.57,32.57,1386800
2021-07-02,30.91,31.365,27.200001,28.809999,28.809999,801700
2021-07-06,27.4,28.5,25.889999,26.52,26.52,595000
2021-07-07,27.01,27.309999,25.6,26.190001,26.190001,237100
2021-07-08,25.0,27.5,24.51,25.48,25.48,385800
2021-07-09,26.85,26.915001,25.190001,25.190001,25.190001,287300
2021-07-12,25.52,25.709999,23.09,23.5,23.5,266700
2021-07-13,24.0,24.882999,23.33,23.5,23.5,343300
2021-07-14,23.41,23.91,22.530001,23.27,23.27,300700
2021-07-15,23.52,24.48,23.32,23.74,23.74,373100
2021-07-16,23.790001,24.120001,23.15,23.530001,23.530001,142000
2021-07-19,23.08,24.139999,23.01,23.43,23.43,120100
2021-07-20,23.799999,23.9,23.120001,23.5,23.5,55800
2021-07-21,23.280001,23.82,23.15,23.57,23.57,71100
2021-07-22,23.459999,23.77,23.299999,23.42,23.42,38900
2021-07-23,22.01,22.200001,21.049999,21.540001,21.540001,202600
2021-07-26,20.0,20.309999,18.870001,19.92,19.92,285500
2021-07-27,19.049999,22.43,18.879999,22.4,22.4,360700
2021-07-28,22.98,26.219999,22.98,26.219999,26.219999,181300
2021-07-29,25.950001,26.219999,23.450001,23.91,23.91,273700
2021-07-30,24.290001,24.884001,23.719999,24.83,24.83,54900
2021-08-02,24.889999,24.940001,24.299999,24.540001,24.540001,28200
2021-08-03,24.540001,24.540001,22.530001,23.15,23.15,280800
2021-08-04,23.17,23.594999,22.0,22.110001,22.110001,164400
2021-08-05,22.190001,22.790001,22.0,22.1,22.1,74900
2021-08-06,22.1,22.6,20.549999,20.77,20.77,94900
2021-08-09,20.959999,21.889999,20.82,21.42,21.42,61900
2021-08-10,21.860001,22.200001,20.9,21.219999,21.219999,55200
2021-08-11,21.110001,21.549999,20.57,20.67,20.67,40600
2021-08-12,21.02,21.629999,20.700001,21.43,21.43,78500
2021-08-13,21.049999,21.700001,18.309999,18.379999,18.379999,344700
2021-08-16,18.959999,18.972,17.302999,18.219999,18.219999,84300
2021-08-17,17.809999,19.719,17.809999,19.52,19.52,53900
2021-08-18,19.92,19.92,19.139999,19.82,19.82,65200
2021-08-19,19.200001,19.799999,18.91,19.549999,19.549999,39600
2021-08-20,19.700001,19.84,19.23,19.76,19.76,35900
2021-08-23,19.9,20.34,19.889999,20.08,20.08,14400
2021-08-24,20.549999,21.690001,20.549999,21.5,21.5,96600
2021-08-25,21.459999,21.459999,20.927,21.25,21.25,16800
2021-08-26,21.25,23.0,21.25,22.889999,22.889999,34700
2021-08-27,22.940001,23.190001,21.360001,21.360001,21.360001,39000
2021-08-30,22.879999,22.879999,21.200001,21.309999,21.309999,36200
2021-08-31,21.299999,21.49,20.02,20.17,20.17,38700
2021-09-01,20.01,21.77,20.01,21.34,21.34,60700
2021-09-02,21.5,21.700001,21.32,21.34,21.34,29900
2021-09-03,21.23,21.6,20.871,21.1,21.1,26900
2021-09-07,21.08,22.200001,21.08,22.110001,22.110001,35100
2021-09-08,22.200001,22.59,21.700001,22.120001,22.120001,48800
2021-09-09,22.110001,23.200001,22.066,22.950001,22.950001,119700
2021-09-10,23.0,23.197001,22.49,22.5,22.5,36400
