Date,Open,High,Low,Close,Adj Close,Volume
2013-05-24,25.0,25.09,25.0,25.01,11.554065,406100
2013-05-28,25.02,25.139999,25.02,25.049999,11.572542,34200
2013-05-29,25.040001,25.18,25.01,25.129999,11.609505,100200
2013-05-30,25.059999,25.15,25.01,25.01,11.554065,46900
2013-05-31,25.030001,25.059999,25.0,25.01,11.554065,67600
2013-06-03,25.0,25.030001,25.0,25.0,11.549446,21200
2013-06-04,25.02,25.02,25.0,25.0,11.549446,39500
2013-06-05,25.0,25.01,25.0,25.0,11.549446,75500
2013-06-06,25.0,25.01,25.0,25.0,11.549446,39500
2013-06-07,25.01,25.09,25.0,25.0,11.549446,29800
2013-06-10,25.08,25.08,25.02,25.040001,11.567921,16900
2013-06-11,25.0,25.08,25.0,25.0,11.549446,28700
2013-06-12,25.030001,25.09,25.0,25.0,11.549446,46300
2013-06-13,25.0,25.01,25.0,25.0,11.549446,87300
2013-06-14,25.0,25.07,25.0,25.01,11.554065,37500
2013-06-17,25.1,25.1,25.0,25.0,11.549446,22800
2013-06-18,25.030001,25.030001,24.99,25.0,11.549446,41200
2013-06-19,25.0,25.01,25.0,25.0,11.549446,34000
2013-06-20,25.0,25.01,25.0,25.0,11.549446,183500
2013-06-21,25.0,25.01,25.0,25.0,11.549446,157600
2013-06-24,25.0,25.01,25.0,25.0,11.549446,204000
2013-06-25,25.0,25.01,25.0,25.0,11.549446,129100
2013-06-26,25.0,25.02,25.0,25.02,11.558682,117400
2013-06-27,25.01,25.02,25.0,25.0,11.549446,210000
2013-06-28,24.700001,25.040001,24.700001,25.0,11.549446,117000
2013-07-01,24.780001,24.9,24.549999,24.639999,11.383135,835400
2013-07-02,24.5,24.639999,24.5,24.559999,11.346169,360800
2013-07-03,24.52,24.52,24.4,24.4,11.272262,83900
2013-07-05,24.32,24.370001,24.110001,24.209999,11.184484,39800
2013-07-08,24.17,24.280001,24.030001,24.049999,11.110563,48100
2013-07-09,23.610001,24.030001,23.6,23.799999,10.995068,185500
2013-07-10,23.58,23.719999,23.469999,23.620001,10.983914,49300
2013-07-11,23.74,24.030001,23.620001,23.709999,11.025759,31400
2013-07-12,23.75,23.85,23.459999,23.530001,10.94206,37900
2013-07-15,23.530001,23.68,23.030001,23.120001,10.751397,110700
2013-07-16,23.01,23.08,22.65,22.65,10.532833,52300
2013-07-17,22.629999,22.629999,22.08,22.120001,10.28637,162400
2013-07-18,22.15,22.299999,22.02,22.139999,10.295671,102500
2013-07-19,22.09,22.190001,21.83,21.950001,10.207314,105300
2013-07-22,21.92,22.200001,21.65,22.200001,10.323577,81400
2013-07-23,22.219999,22.309999,21.93,22.17,10.30962,32700
2013-07-24,22.049999,22.379999,21.98,22.209999,10.32822,83000
2013-07-25,22.360001,22.58,22.190001,22.459999,10.444476,81100
2013-07-26,22.450001,22.5,22.08,22.219999,10.33287,64200
2013-07-29,22.370001,22.370001,22.030001,22.25,10.346821,10200
2013-07-30,22.360001,22.42,22.200001,22.370001,10.402626,9400
2013-07-31,22.4,22.57,22.030001,22.09,10.27242,20800
2013-08-01,22.1,22.23,21.280001,21.33,9.918998,116600
2013-08-02,21.48,22.299999,21.41,22.23,10.33752,108700
2013-08-05,22.0,22.27,22.0,22.129999,10.291017,30500
2013-08-06,22.0,22.379999,21.5,21.76,10.118958,61100
2013-08-07,21.51,21.799999,21.35,21.48,9.988753,43200
2013-08-08,21.469999,21.469999,20.870001,20.879999,9.709734,147900
2013-08-09,20.799999,21.549999,20.700001,21.51,10.002709,80900
2013-08-12,21.49,21.73,21.200001,21.450001,9.974805,65800
2013-08-13,21.780001,21.780001,21.25,21.530001,10.012008,68800
2013-08-14,21.77,21.77,21.0,21.51,10.002709,60400
2013-08-15,21.4,21.440001,20.799999,21.219999,9.86784,76600
2013-08-16,20.75,21.1,20.43,20.85,9.695787,124300
2013-08-19,20.52,21.4,20.52,20.799999,9.672534,86600
2013-08-20,20.5,21.16,20.459999,20.75,9.649287,105300
2013-08-21,20.969999,20.969999,20.23,20.75,9.722382,101100
2013-08-22,20.73,21.0,20.26,20.84,9.764551,126400
2013-08-23,20.540001,21.25,20.540001,21.200001,9.933227,114200
2013-08-26,21.09,21.16,20.43,20.68,9.689576,217200
2013-08-27,20.719999,20.879999,20.52,20.68,9.689576,64900
2013-08-28,20.700001,20.879999,20.360001,20.860001,9.773921,64900
2013-08-29,20.57,20.92,20.559999,20.65,9.675521,95200
2013-08-30,20.82,21.15,20.469999,21.139999,9.905115,63800
2013-09-03,21.139999,21.15,20.75,20.93,9.806715,33200
2013-09-04,20.84,20.99,20.65,20.690001,9.694266,64400
2013-09-05,20.75,20.75,20.5,20.530001,9.6193,48200
2013-09-06,20.530001,20.58,20.34,20.42,9.56776,44500
2013-09-09,20.540001,20.639999,20.26,20.309999,9.516215,66700
2013-09-10,20.35,20.540001,20.040001,20.200001,9.464681,88700
2013-09-11,20.16,20.43,20.030001,20.280001,9.502165,94300
2013-09-12,20.23,20.43,19.870001,20.0,9.370966,121400
2013-09-13,20.0,20.219999,19.82,20.059999,9.399079,96200
2013-09-16,20.35,20.41,20.0,20.0,9.370966,83400
2013-09-17,20.0,20.299999,19.950001,20.08,9.408449,104200
2013-09-18,20.129999,20.59,20.030001,20.51,9.60993,142600
2013-09-19,20.360001,20.57,20.110001,20.25,9.56082,108200
2013-09-20,20.450001,20.450001,19.959999,20.15,9.513608,115100
2013-09-23,20.24,20.57,20.059999,20.549999,9.702463,134500
2013-09-24,20.4,20.700001,20.290001,20.700001,9.773291,91900
2013-09-25,20.780001,20.780001,20.6,20.73,9.78745,55100
2013-09-26,20.65,21.0,20.65,20.68,9.763842,83200
2013-09-27,20.809999,20.93,20.6,20.93,9.881878,145700
2013-09-30,21.040001,21.34,20.52,21.34,10.075456,347400
2013-10-01,21.15,21.360001,20.98,21.25,10.032966,101700
2013-10-02,21.35,21.35,20.700001,21.139999,9.981027,74900
2013-10-03,21.26,21.26,20.799999,21.0,9.914935,37300
2013-10-04,21.32,21.32,21.01,21.01,9.919655,31400
2013-10-07,21.200001,21.389999,20.66,20.719999,9.782731,39200
2013-10-08,20.799999,20.799999,20.530001,20.65,9.749678,50700
2013-10-09,20.65,20.889999,20.51,20.68,9.763842,50400
2013-10-10,20.77,21.09,20.41,20.43,9.645806,78500
2013-10-11,20.52,20.75,20.360001,20.67,9.759122,53700
2013-10-14,20.540001,20.950001,20.5,20.73,9.78745,38900
2013-10-15,20.49,20.85,20.49,20.690001,9.768564,112300
2013-10-16,20.709999,20.74,20.299999,20.389999,9.626922,70100
2013-10-17,20.43,20.82,20.309999,20.639999,9.74496,100600
2013-10-18,20.6,20.860001,20.57,20.690001,9.768564,133800
2013-10-21,20.68,20.709999,20.5,20.700001,9.773291,66700
2013-10-22,20.75,20.75,20.450001,20.629999,9.814198,129500
2013-10-23,20.629999,20.860001,20.549999,20.67,9.833228,69400
2013-10-24,20.610001,20.940001,20.610001,20.709999,9.852249,73700
2013-10-25,20.75,20.92,20.75,20.83,9.909343,49500
2013-10-28,20.98,20.98,20.58,20.700001,9.847505,62600
2013-10-29,20.799999,20.92,20.66,20.82,9.904584,94400
2013-10-30,20.83,21.0,20.719999,20.92,9.952156,78000
2013-10-31,21.16,21.16,20.709999,20.799999,9.895073,68400
2013-11-01,20.879999,20.969999,20.66,20.73,9.86177,29100
2013-11-04,20.719999,20.809999,20.57,20.65,9.823714,44100
2013-11-05,20.6,20.66,20.33,20.440001,9.723814,82100
2013-11-06,20.42,20.49,20.35,20.440001,9.723814,68700
2013-11-07,20.5,20.540001,20.389999,20.450001,9.728572,51200
2013-11-08,20.42,20.48,20.01,20.110001,9.566825,149900
2013-11-11,20.17,20.26,20.1,20.139999,9.581094,40900
2013-11-12,20.16,20.23,19.780001,19.92,9.476437,100000
2013-11-13,19.969999,20.17,19.879999,20.15,9.58585,98700
2013-11-14,20.17,20.41,20.120001,20.27,9.642942,149100
2013-11-15,20.18,20.34,20.18,20.27,9.642942,67100
2013-11-18,20.25,20.389999,20.25,20.299999,9.657209,86500
2013-11-19,20.07,20.209999,19.969999,19.99,9.583381,101000
2013-11-20,19.85,20.120001,19.73,19.790001,9.487505,178100
2013-11-21,19.870001,19.940001,19.74,19.77,9.47791,134300
2013-11-22,19.83,19.99,19.68,19.91,9.545026,227500
2013-11-25,19.77,20.08,19.690001,20.049999,9.612149,201000
2013-11-26,19.93,20.120001,19.85,19.91,9.545026,159800
2013-11-27,19.860001,20.07,19.809999,19.879999,9.530648,141400
2013-11-29,20.08,20.08,19.83,19.9,9.540236,52100
2013-12-02,19.9,20.030001,19.799999,19.99,9.583381,229900
2013-12-03,19.889999,19.950001,19.74,19.85,9.516265,146400
2013-12-04,19.91,19.91,19.67,19.73,9.458736,174000
2013-12-05,19.73,19.790001,19.57,19.68,9.434764,285900
2013-12-06,19.76,19.879999,19.74,19.83,9.506674,113600
2013-12-09,19.780001,19.9,19.77,19.860001,9.521058,166600
2013-12-10,19.84,19.93,19.75,19.889999,9.535439,234000
2013-12-11,19.99,19.99,19.85,19.91,9.545026,159000
2013-12-12,19.860001,20.0,19.860001,19.9,9.540236,210700
2013-12-13,19.870001,19.959999,19.809999,19.940001,9.559407,176500
2013-12-16,20.0,20.4,19.98,20.27,9.717617,287300
2013-12-17,20.15,20.43,20.15,20.299999,9.731996,167400
2013-12-18,20.26,20.5,20.200001,20.389999,9.775142,242400
2013-12-19,20.120001,20.58,20.049999,20.26,9.814872,230100
2013-12-20,20.25,20.459999,20.16,20.24,9.805182,244800
2013-12-23,20.379999,20.450001,20.309999,20.42,9.892375,184300
2013-12-24,20.43,20.57,20.33,20.41,9.887539,111000
2013-12-26,20.459999,20.49,20.18,20.370001,9.868156,206400
2013-12-27,20.43,20.43,20.26,20.33,9.848784,211800
2013-12-30,20.34,20.48,20.0,20.1,9.737354,258000
2013-12-31,20.08,20.530001,19.92,20.530001,9.945666,601600
2014-01-02,20.5,20.73,20.4,20.700001,10.028027,116900
2014-01-03,20.77,20.77,20.6,20.73,10.042559,76000
2014-01-06,20.790001,20.870001,20.559999,20.700001,10.028027,114100
2014-01-07,20.75,20.75,20.620001,20.690001,10.023183,74500
2014-01-08,20.77,20.77,20.6,20.68,10.018333,80500
2014-01-09,20.73,20.77,20.639999,20.74,10.047404,75500
2014-01-10,20.809999,20.92,20.75,20.9,10.124916,97700
2014-01-13,20.93,20.969999,20.84,20.9,10.124916,85500
2014-01-14,20.82,20.940001,20.809999,20.889999,10.120071,51600
2014-01-15,20.83,20.950001,20.82,20.940001,10.144292,67900
2014-01-16,21.0,21.0,20.91,20.950001,10.149136,83400
2014-01-17,20.959999,21.0,20.950001,20.98,10.163671,61000
2014-01-21,21.030001,21.110001,21.030001,21.110001,10.226645,95900
2014-01-22,21.0,21.120001,20.940001,20.99,10.246176,95900
2014-01-23,20.959999,21.09,20.91,20.93,10.216878,106300
2014-01-24,21.0,21.1,20.700001,20.77,10.13878,245600
