Date,Open,High,Low,Close,Adj Close,Volume
2021-09-15,37.25,44.240002,37.0,43.290001,43.290001,7843400
2021-09-16,40.66,48.43,40.599998,47.220001,47.220001,1699900
2021-09-17,48.07,50.299999,45.419998,48.990002,48.990002,1667400
2021-09-20,46.720001,46.799999,42.150002,44.959999,44.959999,811400
2021-09-21,45.209999,45.970001,42.5,43.5,43.5,1824600
2021-09-22,43.5,45.77,42.060001,44.299999,44.299999,498300
2021-09-23,45.0,45.689999,42.263,42.950001,42.950001,332000
2021-09-24,42.439999,44.84,40.849998,44.25,44.25,389000
2021-09-27,43.880001,46.689999,43.139999,46.139999,46.139999,218800
2021-09-28,44.849998,45.195,41.98,42.02,42.02,1059100
2021-09-29,41.889999,42.950001,41.285,42.25,42.25,141800
2021-09-30,42.66,44.810001,41.509998,42.830002,42.830002,259200
2021-10-01,42.5,42.790001,39.16,40.540001,40.540001,314700
2021-10-04,39.849998,41.490002,39.119999,40.209999,40.209999,181100
2021-10-05,40.0,41.990002,39.099998,40.950001,40.950001,487500
2021-10-06,40.560001,42.48,39.57,41.34,41.34,168000
2021-10-07,40.900002,44.75,40.435001,43.310001,43.310001,222300
2021-10-08,43.080002,45.689999,42.349998,45.310001,45.310001,154500
2021-10-11,44.18,44.18,40.599998,41.139999,41.139999,467700
2021-10-12,41.099998,42.0,37.549999,39.099998,39.099998,434000
2021-10-13,39.009998,40.490002,38.435001,39.330002,39.330002,296700
2021-10-14,39.610001,40.91,39.070999,40.5,40.5,480300
2021-10-15,40.5,42.5,40.389999,42.299999,42.299999,287400
2021-10-18,41.52,42.5,40.650002,40.779999,40.779999,169200
2021-10-19,40.73,40.73,38.900002,39.040001,39.040001,150000
2021-10-20,39.040001,39.52,37.639999,38.439999,38.439999,202200
2021-10-21,38.560001,40.279999,38.560001,39.93,39.93,49900
2021-10-22,39.98,40.200001,38.41,39.075001,39.075001,220700
2021-10-25,39.290001,39.98,38.549999,39.43,39.43,89500
2021-10-26,39.369999,39.494999,37.779999,38.0,38.0,116300
2021-10-27,38.060001,38.16,35.040001,36.049999,36.049999,328900
2021-10-28,35.970001,37.16,35.849998,37.150002,37.150002,165700
2021-10-29,36.830002,40.43,36.509998,40.139999,40.139999,188800
2021-11-01,40.23,40.630001,39.619999,39.860001,39.860001,102900
2021-11-02,39.900002,40.529999,39.18,39.349998,39.349998,119900
2021-11-03,39.669998,41.169998,39.040001,40.619999,40.619999,162300
2021-11-04,40.450001,42.009998,40.095001,40.43,40.43,149300
2021-11-05,40.57,42.5,40.240002,41.830002,41.830002,177800
2021-11-08,41.75,42.279999,40.130001,40.509998,40.509998,282300
2021-11-09,40.610001,41.355,37.91,39.419998,39.419998,382500
2021-11-10,38.529999,39.895,38.529999,39.400002,39.400002,373800
2021-11-11,39.700001,43.619999,39.255001,42.59,42.59,165500
2021-11-12,42.75,43.360001,41.529999,41.900002,41.900002,180100
2021-11-15,42.040001,44.09,41.490002,43.919998,43.919998,161000
2021-11-16,41.349998,41.790001,37.5,39.580002,39.580002,973000
2021-11-17,39.759998,39.759998,33.709999,37.639999,37.639999,1080600
2021-11-18,35.98,36.0,32.869999,32.93,32.93,4944000
2021-11-19,33.16,35.060001,32.599998,34.759998,34.759998,1287400
2021-11-22,34.740002,35.380001,30.0,30.620001,30.620001,785400
2021-11-23,30.15,31.82,28.73,29.290001,29.290001,829900
2021-11-24,29.209999,30.99,27.860001,30.1,30.1,582700
2021-11-26,29.91,30.559999,29.139999,29.91,29.91,163600
2021-11-29,30.01,30.959999,29.07,30.15,30.15,440800
2021-11-30,29.9,30.450001,28.135,29.309999,29.309999,676000
2021-12-01,29.68,30.559999,28.18,28.65,28.65,741300
2021-12-02,28.870001,29.818001,27.66,28.629999,28.629999,418900
2021-12-03,28.889999,29.34,27.135,28.780001,28.780001,616000
2021-12-06,28.530001,29.280001,26.690001,29.110001,29.110001,611300
2021-12-07,29.610001,30.870001,29.610001,30.299999,30.299999,551600
2021-12-08,30.299999,32.669998,29.9,32.080002,32.080002,773200
2021-12-09,31.77,33.195,31.379999,32.029999,32.029999,757200
2021-12-10,31.91,33.389999,29.75,30.09,30.09,1162400
2021-12-13,30.07,31.059999,27.17,27.26,27.26,560300
2021-12-14,27.16,27.6,25.25,25.530001,25.530001,614600
2021-12-15,25.65,26.9,25.388,26.700001,26.700001,641500
2021-12-16,28.02,28.709999,26.280001,26.700001,26.700001,1281300
2021-12-17,26.370001,28.07,24.66,27.42,27.42,3011900
2021-12-20,27.059999,27.790001,26.139999,27.18,27.18,400000
2021-12-21,27.610001,28.280001,27.370001,28.01,28.01,275100
2021-12-22,28.01,28.57,27.385,27.780001,27.780001,245100
2021-12-23,28.0,28.83,27.440001,28.35,28.35,181400
2021-12-27,28.66,29.16,28.065001,28.33,28.33,102300
2021-12-28,28.17,28.721001,27.07,27.27,27.27,124000
2021-12-29,27.059999,27.809999,26.43,27.32,27.32,141100
2021-12-30,27.370001,28.540001,27.254999,27.84,27.84,131900
2021-12-31,27.84,28.549999,27.33,27.33,27.33,172600
2022-01-03,27.5,28.98,27.379999,28.15,28.15,607800
2022-01-04,27.955,28.684999,26.049999,27.09,27.09,600900
2022-01-05,26.91,27.549999,24.530001,25.07,25.07,616100
2022-01-06,25.049999,25.969999,24.290001,25.48,25.48,572800
2022-01-07,25.360001,25.84,24.055,24.52,24.52,350500
2022-01-10,24.32,24.58,23.290001,24.26,24.26,387600
2022-01-11,24.610001,25.0,23.629999,24.6,24.6,159000
