Date,Open,High,Low,Close,Adj Close,Volume
1996-06-06,7.5,7.5,7.5,7.5,2.414215,300
1996-06-07,7.5,8.75,7.5,8.75,2.816584,7100
1996-06-10,6.25,10.0,6.25,10.0,3.218953,4740
1996-06-11,8.125,8.125,8.125,8.125,2.6154,920
1996-06-12,8.125,8.125,7.5,7.5,2.414215,640
1996-06-13,7.5,8.75,7.5,8.75,2.816584,2200
1996-06-14,8.75,8.75,8.75,8.75,2.816584,0
1996-06-17,8.75,8.75,8.75,8.75,2.816584,0
1996-06-18,8.75,8.75,8.75,8.75,2.816584,0
1996-06-19,8.75,8.75,8.75,8.75,2.816584,0
1996-06-20,8.75,8.75,8.75,8.75,2.816584,0
1996-06-21,8.75,8.75,8.75,8.75,2.816584,0
1996-06-24,8.75,8.75,8.75,8.75,2.816584,0
1996-06-25,8.75,8.75,8.75,8.75,2.816584,0
1996-06-26,8.75,8.75,8.75,8.75,2.816584,0
1996-06-27,8.75,11.25,8.75,11.25,3.621321,3300
1996-06-28,11.25,11.25,10.0,11.25,3.621321,1420
1996-07-01,8.75,8.75,8.75,8.75,2.816584,20
1996-07-02,8.75,8.75,8.75,8.75,2.816584,0
1996-07-03,8.75,8.75,8.75,8.75,2.816584,0
1996-07-05,8.75,8.75,8.75,8.75,2.816584,0
1996-07-08,8.75,8.75,8.75,8.75,2.816584,0
1996-07-09,10.0,10.0,10.0,10.0,3.218953,2000
1996-07-10,10.0,10.0,10.0,10.0,3.218953,0
1996-07-11,10.0,10.0,10.0,10.0,3.218953,0
1996-07-12,10.0,10.0,10.0,10.0,3.218953,500
1996-07-15,9.375,11.25,9.375,9.375,3.017768,2740
1996-07-16,9.375,9.375,9.375,9.375,3.017768,200
1996-07-17,11.25,11.25,11.25,11.25,3.621321,140
1996-07-18,11.25,11.25,11.25,11.25,3.621321,0
1996-07-19,11.25,11.25,11.25,11.25,3.621321,0
1996-07-22,11.25,11.25,11.25,11.25,3.621321,0
1996-07-23,9.375,10.625,8.125,8.125,2.6154,1100
1996-07-24,8.75,9.0625,8.75,9.0625,2.917176,1000
1996-07-25,8.75,8.75,8.75,8.75,2.816584,200
1996-07-26,10.0,10.0,10.0,10.0,3.218953,600
1996-07-29,10.0,10.0,10.0,10.0,3.218953,0
1996-07-30,10.0,10.0,10.0,10.0,3.218953,0
1996-07-31,8.75,10.0,8.75,10.0,3.218953,1660
1996-08-01,10.0,10.0,8.75,8.75,2.816584,460
1996-08-02,8.75,8.75,8.75,8.75,2.816584,900
1996-08-05,8.75,8.75,8.75,8.75,2.816584,860
1996-08-06,8.75,10.0,8.75,10.0,3.218953,1800
1996-08-07,8.125,8.125,5.0,7.5,2.414215,1900
1996-08-08,8.75,8.75,8.75,8.75,2.816584,200
1996-08-09,8.75,8.75,8.75,8.75,2.816584,720
1996-08-12,5.0,5.0,5.0,5.0,1.609477,200
1996-08-13,5.0,5.0,5.0,5.0,1.609477,440
1996-08-14,7.5,7.5,7.5,7.5,2.414215,220
1996-08-15,7.5,7.5,7.5,7.5,2.414215,0
1996-08-16,7.5,7.5,7.5,7.5,2.414215,0
1996-08-19,7.5,7.5,7.5,7.5,2.414215,0
1996-08-20,7.5,7.5,7.5,7.5,2.414215,0
1996-08-21,7.5,7.5,7.5,7.5,2.414215,0
1996-08-22,5.0,5.0,5.0,5.0,1.609477,200
1996-08-23,6.25,7.5,6.25,7.5,2.414215,1200
1996-08-26,5.0,5.0,5.0,5.0,1.609477,440
1996-08-27,5.0,5.0,5.0,5.0,1.609477,0
1996-08-28,5.0,5.0,5.0,5.0,1.609477,0
1996-08-29,5.0,5.0,5.0,5.0,1.609477,0
1996-08-30,5.0,8.75,5.0,8.75,2.816584,2200
1996-09-03,8.75,8.75,8.75,8.75,2.816584,0
1996-09-04,8.75,8.75,8.75,8.75,2.816584,0
1996-09-05,6.875,6.875,6.875,6.875,2.21303,600
1996-09-06,6.875,6.875,6.875,6.875,2.21303,0
1996-09-09,5.0,5.0,5.0,5.0,1.609477,200
1996-09-10,5.0,5.0,5.0,5.0,1.609477,0
1996-09-11,5.625,5.625,5.625,5.625,1.810661,1600
1996-09-12,5.625,5.625,5.625,5.625,1.810661,0
1996-09-13,7.5,7.5,5.625,5.625,1.810661,1000
1996-09-16,5.625,5.625,5.625,5.625,1.810661,0
1996-09-17,5.625,5.625,5.625,5.625,1.810661,0
1996-09-18,5.625,5.625,5.625,5.625,1.810661,0
1996-09-19,5.625,7.5,5.625,6.25,2.011845,1600
1996-09-20,7.5,7.5,7.5,7.5,2.414215,1000
1996-09-23,7.5,7.5,7.5,7.5,2.414215,700
1996-09-24,7.5,7.5,7.5,7.5,2.414215,0
1996-09-25,8.125,8.125,8.125,8.125,2.6154,400
1996-09-26,6.25,6.25,6.25,6.25,2.011845,400
1996-09-27,8.75,8.75,8.75,8.75,2.816584,500
1996-09-30,8.75,8.75,5.625,5.625,1.810661,1100
1996-10-01,8.75,8.75,8.75,8.75,2.816584,760
1996-10-02,8.75,8.75,8.75,8.75,2.816584,0
1996-10-03,8.75,8.75,8.75,8.75,2.816584,0
1996-10-04,8.75,8.75,5.625,5.625,1.810661,1120
1996-10-07,7.5,8.75,7.5,8.75,2.816584,1200
1996-10-08,8.125,8.125,8.125,8.125,2.6154,340
1996-10-09,5.625,5.625,5.625,5.625,1.810661,400
1996-10-10,5.625,5.625,5.625,5.625,1.810661,400
1996-10-11,5.625,5.625,5.625,5.625,1.810661,400
1996-10-14,5.625,5.625,5.625,5.625,1.810661,0
1996-10-15,5.625,5.625,5.625,5.625,1.810661,0
1996-10-16,5.625,5.625,5.625,5.625,1.810661,0
1996-10-17,5.625,6.875,5.625,5.625,1.810661,1300
1996-10-18,5.625,5.625,5.625,5.625,1.810661,0
1996-10-21,5.625,7.5,5.625,7.5,2.414215,500
1996-10-22,7.5,7.5,5.0,5.0,1.609477,1380
1996-10-23,5.0,5.0,5.0,5.0,1.609477,2400
1996-10-24,5.0,5.0,5.0,5.0,1.609477,1240
1996-10-25,5.0,7.5,5.0,7.5,2.414215,2300
1996-10-28,5.0,5.0,5.0,5.0,1.609477,200
1996-10-29,6.25,6.875,6.25,6.875,2.21303,800
1996-10-30,5.0,5.0,5.0,5.0,1.609477,200
1996-10-31,5.625,7.5,5.625,5.625,1.810661,1400
1996-11-01,5.625,5.625,5.625,5.625,1.810661,0
1996-11-04,5.625,5.625,5.625,5.625,1.810661,0
1996-11-05,5.625,6.25,5.625,6.25,2.011845,340
1996-11-06,7.5,7.5,7.5,7.5,2.414215,200
1996-11-07,7.5,7.5,7.5,7.5,2.414215,60
1996-11-08,5.9375,7.5,5.9375,7.5,2.414215,7760
1996-11-11,7.5,7.5,7.5,7.5,2.414215,200
1996-11-12,7.5,7.5,7.5,7.5,2.414215,0
1996-11-13,7.5,7.5,5.625,5.625,1.810661,7780
1996-11-14,6.875,6.875,5.625,5.625,1.810661,2400
1996-11-15,6.25,7.5,5.625,5.625,1.810661,3960
1996-11-18,7.5,7.5,5.625,5.625,1.810661,3580
1996-11-19,7.5,7.5,7.5,7.5,2.414215,3400
1996-11-20,7.5,7.5,6.875,7.5,2.414215,2760
1996-11-21,6.25,7.5,6.25,7.5,2.414215,1400
1996-11-22,8.125,8.125,5.9375,7.5,2.414215,16120
1996-11-25,7.5,7.5,7.5,7.5,2.414215,4000
1996-11-26,7.5,7.5,5.9375,5.9375,1.911254,1400
1996-11-27,6.25,7.5,6.25,6.5625,2.112438,9300
1996-11-29,7.5,8.125,7.5,8.125,2.6154,1060
1996-12-02,8.125,8.125,8.125,8.125,2.6154,1400
1996-12-03,6.875,8.125,6.875,8.125,2.6154,1300
1996-12-04,7.5,7.5,7.5,7.5,2.414215,700
1996-12-05,7.5,7.5,7.5,7.5,2.414215,1000
1996-12-06,8.75,8.75,8.75,8.75,2.816584,2400
1996-12-09,7.5,9.375,7.5,8.75,2.816584,2440
1996-12-10,9.375,9.375,8.75,9.375,3.017768,4320
1996-12-11,9.375,10.0,8.75,8.75,2.816584,1440
1996-12-12,10.0,10.0,10.0,10.0,3.218953,640
1996-12-13,10.0,10.0,10.0,10.0,3.218953,660
1996-12-16,10.0,10.625,9.375,9.375,3.017768,2200
1996-12-17,10.625,10.625,10.0,10.0,3.218953,7060
1996-12-18,8.75,10.625,8.75,9.375,3.017768,1640
1996-12-19,10.625,10.625,9.375,9.375,3.017768,1080
1996-12-20,10.625,10.625,10.0,10.0,3.218953,3200
1996-12-23,10.625,10.625,9.375,9.375,3.017768,400
1996-12-24,9.375,9.375,9.375,9.375,3.017768,0
1996-12-26,9.375,9.375,9.375,9.375,3.017768,0
1996-12-27,9.375,9.375,9.375,9.375,3.017768,0
1996-12-30,9.375,9.375,9.375,9.375,3.017768,800
1996-12-31,9.375,9.375,9.375,9.375,3.017768,0
1997-01-02,9.375,10.625,9.375,10.625,3.420138,560
1997-01-03,9.375,9.375,9.375,9.375,3.017768,60
1997-01-06,9.375,10.625,9.375,10.625,3.420138,3500
1997-01-07,10.0,10.625,10.0,10.625,3.420138,6140
1997-01-08,10.625,10.625,9.375,10.625,3.420138,960
1997-01-09,10.3125,10.3125,9.375,9.375,3.017768,900
1997-01-10,10.0,10.0,10.0,10.0,3.218953,1160
1997-01-13,10.625,10.625,10.0,10.0,3.218953,2080
1997-01-14,10.0,10.0,10.0,10.0,3.218953,400
1997-01-15,10.0,10.0,10.0,10.0,3.218953,600
1997-01-16,10.0,10.625,10.0,10.625,3.420138,2900
1997-01-17,10.625,10.625,10.625,10.625,3.420138,0
1997-01-20,10.0,10.0,10.0,10.0,3.218953,400
1997-01-21,9.375,9.375,9.375,9.375,3.017768,100
1997-01-22,9.375,9.375,9.375,9.375,3.017768,200
1997-01-23,9.375,10.625,9.375,10.625,3.420138,1060
1997-01-24,9.375,10.625,9.375,10.625,3.420138,1300
1997-01-27,9.375,10.0,9.375,10.0,3.218953,780
1997-01-28,10.0,10.0,10.0,10.0,3.218953,0
1997-01-29,10.0,10.0,10.0,10.0,3.218953,800
1997-01-30,8.75,8.75,8.75,8.75,2.816584,400
1997-01-31,8.75,10.0,8.75,10.0,3.218953,1800
1997-02-03,10.625,10.625,8.75,8.75,2.816584,1640
1997-02-04,9.375,9.375,9.375,9.375,3.017768,5800
1997-02-05,8.75,8.75,8.75,8.75,2.816584,200
1997-02-06,8.75,8.75,8.75,8.75,2.816584,0
1997-02-07,10.0,10.0,8.75,10.0,3.218953,3660
1997-02-10,10.0,10.0,10.0,10.0,3.218953,0
1997-02-11,9.375,9.375,9.375,9.375,3.017768,1900
1997-02-12,8.75,9.375,8.75,9.375,3.017768,1440
1997-02-13,10.0,10.0,10.0,10.0,3.218953,500
1997-02-14,10.0,10.0,10.0,10.0,3.218953,0
1997-02-18,8.75,10.0,8.75,9.375,3.017768,2660
1997-02-19,10.0,10.0,10.0,10.0,3.218953,1000
1997-02-20,8.75,9.375,8.75,9.375,3.017768,1760
1997-02-21,9.375,9.375,9.375,9.375,3.017768,680
1997-02-24,9.375,10.625,9.375,10.625,3.420138,5580
1997-02-25,10.0,11.25,10.0,11.25,3.621321,2620
1997-02-26,10.625,10.625,10.625,10.625,3.420138,1000
1997-02-27,10.0,10.625,10.0,10.0,3.218953,2980
1997-02-28,10.0,10.625,10.0,10.625,3.420138,4320
1997-03-03,10.0,10.0,10.0,10.0,3.218953,3000
1997-03-04,10.3125,10.625,9.6875,9.6875,3.118361,2600
1997-03-05,9.6875,10.3125,9.6875,10.0,3.218953,4900
1997-03-06,10.0,10.0,10.0,10.0,3.218953,1200
1997-03-07,10.0,10.0,10.0,10.0,3.218953,1200
1997-03-10,10.0,11.875,10.0,11.875,3.822507,1800
1997-03-11,11.875,11.875,10.3125,10.3125,3.319545,2500
1997-03-12,11.875,12.1875,10.625,12.1875,3.923099,4060
1997-03-13,10.3125,11.5625,10.3125,10.3125,3.319545,1400
1997-03-14,10.3125,11.875,10.3125,10.3125,3.319545,2400
1997-03-17,10.9375,10.9375,10.3125,10.3125,3.319545,1580
1997-03-18,10.9375,10.9375,9.6875,9.6875,3.118361,1640
1997-03-19,10.0,10.625,9.6875,10.625,3.420138,2480
1997-03-20,9.6875,9.6875,9.6875,9.6875,3.118361,500
1997-03-21,10.3125,10.3125,10.3125,10.3125,3.319545,200
1997-03-24,10.3125,10.3125,10.3125,10.3125,3.319545,0
1997-03-25,10.0,10.0,10.0,10.0,3.218953,2400
1997-03-26,9.6875,10.625,9.6875,10.625,3.420138,980
1997-03-27,10.625,10.625,10.625,10.625,3.420138,0
1997-03-31,10.0,10.625,10.0,10.625,3.420138,7000
1997-04-01,10.625,10.625,10.625,10.625,3.420138,520
1997-04-02,10.0,10.625,10.0,10.625,3.420138,2500
1997-04-03,10.0,10.625,10.0,10.625,3.420138,5900
1997-04-04,10.625,10.625,10.625,10.625,3.420138,1240
1997-04-07,11.25,11.25,10.625,10.625,3.420138,4920
1997-04-08,10.625,11.875,10.625,11.875,3.822507,1300
1997-04-09,10.625,11.875,10.625,11.875,3.822507,9980
1997-04-10,10.625,11.875,10.625,11.875,3.822507,4180
1997-04-11,10.625,11.25,10.3125,11.25,3.621321,5700
1997-04-14,11.25,11.25,10.625,11.25,3.621321,4580
1997-04-15,10.625,11.25,10.625,11.25,3.621321,2760
1997-04-16,11.25,11.25,10.625,10.625,3.420138,1300
1997-04-17,11.25,11.25,11.25,11.25,3.621321,1400
1997-04-18,10.625,11.25,10.625,11.25,3.621321,1360
1997-04-21,10.625,10.625,10.625,10.625,3.420138,600
1997-04-22,10.9375,10.9375,10.625,10.9375,3.52073,2300
1997-04-23,10.9375,10.9375,10.9375,10.9375,3.52073,1000
1997-04-24,10.0,10.0,10.0,10.0,3.218953,200
1997-04-25,10.46875,10.9375,10.46875,10.9375,3.52073,2540
1997-04-28,10.9375,10.9375,10.9375,10.9375,3.52073,0
1997-04-29,10.0,10.0,10.0,10.0,3.218953,20
1997-04-30,10.0,10.0,10.0,10.0,3.218953,0
1997-05-01,10.9375,10.9375,10.9375,10.9375,3.52073,1540
1997-05-02,10.3125,11.875,10.3125,11.875,3.822507,4800
1997-05-05,10.625,10.9375,10.625,10.9375,3.52073,760
1997-05-06,11.875,11.875,10.9375,10.9375,3.52073,1400
1997-05-07,11.25,11.25,10.9375,10.9375,3.52073,2120
1997-05-08,10.9375,11.875,10.9375,11.875,3.822507,4100
1997-05-09,11.875,12.5,11.875,12.5,4.02369,2360
1997-05-12,12.5,13.125,11.875,13.125,4.224876,3240
1997-05-13,11.875,11.875,11.875,11.875,3.822507,240
1997-05-14,12.734375,12.734375,11.484375,11.484375,3.696766,960
