Date,Open,High,Low,Close,Adj Close,Volume
1998-07-29,10.0,10.0625,10.0,10.0,0.561369,172300
1998-07-30,10.0625,10.0625,10.0,10.0625,0.564878,71700
1998-07-31,10.0,10.125,10.0,10.0,0.561369,59400
1998-08-03,10.0625,10.0625,10.0,10.0,0.561369,82400
1998-08-04,10.0,10.0625,10.0,10.0,0.561369,62000
1998-08-05,10.0,10.0625,10.0,10.0,0.561369,76900
1998-08-06,10.0625,10.0625,10.0,10.0625,0.564878,63000
1998-08-07,10.0,10.0625,10.0,10.0,0.561369,28800
1998-08-10,10.0,10.125,10.0,10.125,0.568386,84100
1998-08-11,10.0625,10.125,10.0,10.0625,0.564878,73900
1998-08-12,10.125,10.125,10.0,10.0,0.561369,36400
1998-08-13,10.0,10.0625,10.0,10.0,0.561369,57300
1998-08-14,10.0,10.0625,10.0,10.0,0.561369,31400
1998-08-17,10.0625,10.0625,9.3125,9.4375,0.529792,3058000
1998-08-18,9.5,9.75,9.4375,9.75,0.547334,234400
1998-08-19,9.6875,10.0,9.625,9.9375,0.55786,289300
1998-08-20,9.875,9.9375,9.6875,9.6875,0.543827,199000
1998-08-21,9.6875,9.6875,9.1875,9.375,0.526284,122700
1998-08-24,9.25,9.5,9.25,9.3125,0.522775,95700
1998-08-25,9.375,9.5,9.3125,9.3125,0.522775,62700
1998-08-26,9.25,9.4375,9.0,9.125,0.512249,107600
1998-08-27,9.125,9.1875,9.0,9.125,0.512249,221000
1998-08-28,9.125,9.125,9.0,9.0625,0.508741,66000
1998-08-31,9.0625,9.0625,9.0,9.0,0.505232,237200
1998-09-01,9.0,9.0625,9.0,9.0625,0.508741,168300
1998-09-02,9.0625,9.0625,9.0,9.0,0.505232,615400
1998-09-03,9.0625,9.0625,9.0,9.0,0.505232,349400
1998-09-04,9.0625,9.0625,9.0,9.0625,0.508741,113500
1998-09-08,9.0625,9.3125,9.0625,9.3125,0.522775,127800
1998-09-09,9.375,9.375,9.125,9.125,0.512249,51600
1998-09-10,9.0625,9.125,9.0,9.125,0.512249,74900
1998-09-11,9.0625,9.1875,8.75,9.0,0.505232,222800
1998-09-14,9.0,9.1875,8.9375,9.0,0.505232,79500
1998-09-15,9.0,9.3125,9.0,9.125,0.512249,83900
1998-09-16,9.0,9.125,8.9375,9.125,0.521101,136000
